Date : 2024-07-11 18:24:44
Directory : /Users/harishv/Documents/Code/isomer/isomer-next/isomer
Total : 616 files,  68406 codes, 1241 comments, 2985 blanks, all 72632 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         37 |     39,163 |          5 |         37 |     39,205 |
| TypeScript JSX     |        237 |     20,657 |        438 |      1,518 |     22,613 |
| TypeScript         |        267 |      5,942 |        419 |        924 |      7,285 |
| JavaScript         |         22 |      1,183 |        151 |        168 |      1,502 |
| SCSS               |          7 |        350 |         11 |         70 |        431 |
| MDX                |          1 |        216 |          0 |         24 |        240 |
| SVG                |         13 |        212 |          0 |          4 |        216 |
| SQL                |          7 |        184 |        139 |         79 |        402 |
| Markdown           |          6 |        144 |          0 |         74 |        218 |
| JSON with Comments |          6 |        129 |         24 |         16 |        169 |
| YAML               |          5 |        104 |         13 |         23 |        140 |
| Prisma             |          1 |         87 |          9 |         20 |        116 |
| CSS                |          3 |         19 |          0 |          5 |         24 |
| Shell Script       |          2 |         14 |         22 |         19 |         55 |
| Docker             |          1 |          1 |          8 |          4 |         13 |
| TOML               |          1 |          1 |          2 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                           |        616 |     68,406 |      1,241 |      2,985 |     72,632 |
| . (Files)                                                                                                                                                                   |          5 |     34,858 |          0 |         14 |     34,872 |
| apps                                                                                                                                                                        |        281 |     12,215 |        916 |      1,579 |     14,710 |
| apps/studio                                                                                                                                                                 |        281 |     12,215 |        916 |      1,579 |     14,710 |
| apps/studio (Files)                                                                                                                                                         |         15 |        527 |         54 |         74 |        655 |
| apps/studio/.devcontainer                                                                                                                                                   |          3 |         31 |         23 |         19 |         73 |
| apps/studio/.storybook                                                                                                                                                      |          2 |        212 |         18 |         32 |        262 |
| apps/studio/playwright                                                                                                                                                      |          1 |         11 |          0 |          6 |         17 |
| apps/studio/prisma                                                                                                                                                          |         14 |        692 |        159 |        142 |        993 |
| apps/studio/prisma (Files)                                                                                                                                                  |          3 |        423 |         17 |         55 |        495 |
| apps/studio/prisma/generated                                                                                                                                                |          3 |         84 |          1 |          8 |         93 |
| apps/studio/prisma/migrations                                                                                                                                               |          8 |        185 |        141 |         79 |        405 |
| apps/studio/prisma/migrations (Files)                                                                                                                                       |          1 |          1 |          2 |          0 |          3 |
| apps/studio/prisma/migrations/20240619034724_initial_cms_db_migration                                                                                                       |          1 |         56 |         18 |         25 |         99 |
| apps/studio/prisma/migrations/20240621081149_footer_navbar                                                                                                                  |          1 |         32 |         15 |         12 |         59 |
| apps/studio/prisma/migrations/20240621081908_casing                                                                                                                         |          1 |          2 |          8 |          1 |         11 |
| apps/studio/prisma/migrations/20240624071353_update_to_blob                                                                                                                 |          1 |         11 |         19 |          4 |         34 |
| apps/studio/prisma/migrations/20240624130652_drop_footer_name                                                                                                               |          1 |          1 |          7 |          1 |          9 |
| apps/studio/prisma/migrations/20240625084750_set_id_auto_increment                                                                                                          |          1 |         69 |         58 |         29 |        156 |
